Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACCS,ACCESS Newswire Inc. Common Stock,$7.03,0.11,1.59%,27197847.00,United States,,10106,Consumer Discretionary,Publishing
ACU,Acme United Corporation. Common Stock,$44.85,-1.15,-2.50%,170798891.00,United States,1988,10245,Consumer Discretionary,Industrial Machinery/Components
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,$7.80,0.09,1.167%,837427500.00,United States,,135143,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$1.16,0.02,1.754%,29351547.00,United States,,31262,Health Care,Biotechnology: Pharmaceutical Preparations
AGIG,Abundia Global Impact Group Inc. Common stock,$1.78,0.03,1.714%,67028180.00,United States,,210983,Energy,Oil & Gas Production
AIB,BlockchAIn Digital Infrastructure Inc Common Shares,$2.90,2.90,,84754112.00,,2026,1543800,Finance,Investment Bankers/Brokers/Service
AIM,AIM ImmunoTech Inc. Common Stock,$0.71,-0.0214,-2.926%,2828316.00,,,76951,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIRI,Air Industries Group Common Stock,$3.30,-0.05,-1.493%,15760064.00,United States,,106778,Industrials,Military/Government/Technical
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$2.19,0.20,10.05%,6264105.00,China,,19437,Real Estate,Other Consumer Services
AMS,American Shared Hospital Services Common Stock,$2.06,-0.05,-2.37%,13478580.00,United States,1988,3642,Health Care,Medical Specialities
AMZE,Amaze Holdings Inc. Common Stock,$0.2818,-0.0062,-2.153%,10044953.00,,2021,1016948,Consumer Staples,Beverages (Production/Distribution)
APT,Alpha Pro Tech Ltd. Common Stock,$4.80,-0.14,-2.834%,48890050.00,Canada,2000,44284,Health Care,Industrial Specialties
APUS,Apimeds Pharmaceuticals US Inc. Common Stock,$1.66,0.02,1.22%,20876132.00,,2025,232897,Health Care,Biotechnology: Pharmaceutical Preparations
AREN,The Arena Group Holdings Inc. Common Stock,$2.20,-0.78,-26.174%,104726138.00,United States,2022,252140,Technology,EDP Services
ARMP,Armata Pharmaceuticals Inc. Common Stock,$9.61,-0.08,-0.826%,349870357.00,United States,,13991,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$6.93,-0.11,-1.563%,1163849488.00,Canada,,3020052,Basic Materials,Metal Mining
ATCH,AtlasClear Holdings Inc. Common Stock,$0.2029,-0.0034,-1.648%,30372607.00,,2024,1759821,Finance,Finance: Consumer Services
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$1.14,0.03,2.703%,35563316.00,United States,,67112,Health Care,Biotechnology: Pharmaceutical Preparations
AUST,Austin Gold Corp. Common Shares,$1.45,-0.01,-0.685%,19854851.00,,2022,115678,Basic Materials,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$2.61,0.05,1.953%,10177515.00,United States,1998,4714,Utilities,Environmental Services
AXIL,AXIL Brands Inc. Common Stock,$5.66,-0.06,-1.049%,38503378.00,,2024,3945,Consumer Discretionary,Package Goods/Cosmetics
AZTR,Azitra Inc Common Stock,$0.1583,-0.0036,-2.224%,2563263.00,,2023,324699,Health Care,Biotechnology: Pharmaceutical Preparations
BATL,Battalion Oil Corporation Common Stock,$11.33,-3.62,-24.214%,186452859.00,United States,,7321291,Energy,Oil & Gas Production
BCHT,Birchtech Corp. Common Stock,$2.16,0.03,1.408%,42024887.00,,2026,53196,Industrials,Industrial Machinery/Components
BCV,Bancroft Fund Ltd.,$22.23,-0.46,-2.027%,0.00,United States,1972,13106,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$21.66,0.00,0.00%,,United States,,16,,
BDL,Flanigan's Enterprises Inc. Common Stock,$32.98,-1.62,-4.682%,61298178.00,United States,1972,870,Consumer Discretionary,Restaurants
BESS,Bimergen Energy Corporation Common Stock,$2.725,-0.025,-0.909%,19976719.00,,2026,37245,Utilities,Electric Utilities: Central
BGI,Birks Group Inc. Common Stock,$0.69,-0.0099,-1.414%,13520334.00,Canada,,2313,Consumer Discretionary,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$32.00,0.42,1.33%,535747328.00,United States,1997,209571,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$10.46,0.45,4.496%,42421607.00,,2022,39468,Real Estate,Real Estate Investment Trusts
BKTI,BK Technologies Corporation Common Stock,$78.43,2.43,3.197%,296897000.00,United States,,99964,Technology,Radio And Television Broadcasting And Communications Equipment
BMNR,BitMine Immersion Technologies Inc. Common Stock,$23.23,-0.16,-0.684%,10566454737.00,United States,2025,39542250,Finance,Finance: Consumer Services
BQ,Boqii Holding Limited Class A Ordinary Shares,$1.135,-0.0781,-6.438%,3166305.00,,2025,59488,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$3.98,0.02,0.505%,363535114.00,United States,,295634,Finance,Major Banks
BRIA,BrilliA Inc Class A Ordinary Shares,$1.9621,-0.0078,-0.396%,60089313.00,,2024,2297,Consumer Discretionary,Apparel
BRN,Barnwell Industries Inc. Common Stock,$1.06,0.01,0.952%,13320293.00,United States,1965,87103,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$4.84,0.00,0.00%,6488609783.00,Canada,,24911059,Basic Materials,Precious Metals
BUDA,Buda Juice Inc. Common Stock,$9.43,-0.54,-5.416%,119446670.00,,2026,15781,Consumer Staples,Beverages (Production/Distribution)
